state,current_week_mean,current_week_per_million,last_week_mean,last_week_mean_2,last_week_per_million,last_week_cases_per_million,last_week_cases_mean_2,last_week_cases_mean,current_week_cases_mean,current_week_cases_per_million,p_value_cases_current_last,p_value_cases_last_last2,p_value_death_current_last,p_value_death_last_last2,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million
Ohio,37.42857142857143,3.2,43.142857142857146,37.57142857142857,3.7,46.5,604.5714285714286,543.5714285714286,535.2857142857143,45.8,0.43700000000000006,0.46199999999999997,0.31399999999999995,0.33699999999999997,33439,2044,2860.6992839482937,174.86376196627626
Oklahoma,3.142857142857143,0.8,2.857142857142857,3.4285714285714284,0.7,25.9,90.28571428571429,102.57142857142857,84.28571428571429,21.3,0.499,0.507,0.45499999999999996,0.45899999999999996,6229,322,1574.1838896469042,81.37537525546688
Oregon,0.8571428571428571,0.2,1.1428571428571428,2.2857142857142856,0.3,11.4,70.0,48.285714285714285,38.42857142857143,9.1,0.488,0.482,0.406,0.33099999999999996,4038,148,957.3854415294268,35.08990721801762
Pennsylvania,72.85714285714286,5.7,84.14285714285714,99.85714285714286,6.6,68.0,1001.2857142857143,870.5714285714286,722.8571428571429,56.5,0.46799999999999997,0.473,0.30100000000000005,0.352,73646,5290,5752.699834377299,413.2170399459022
Puerto Rico,0.7142857142857143,,1.2857142857142858,2.142857142857143,,,56.57142857142857,69.42857142857143,81.85714285714286,,0.489,0.494,0.34199999999999997,0.18300000000000005,3397,129,,
Rhode Island,17.285714285714285,16.3,12.571428571428571,11.428571428571429,11.9,209.7,212.28571428571428,222.14285714285714,131.85714285714286,124.5,0.45099999999999996,0.45799999999999996,0.131,0.136,14353,655,13548.733623382399,618.297256553715
South Carolina,7.714285714285714,1.5,6.428571428571429,7.857142857142857,1.2,33.0,149.57142857142858,170.0,201.28571428571428,39.1,0.485,0.489,0.378,0.346,10623,466,2063.233654073619,90.5080375410248
South Dakota,1.0,1.1,0.5714285714285714,1.7142857142857142,0.6,62.2,126.71428571428571,55.0,88.0,99.5,0.505,0.498,0.362,0.406,4710,54,5324.085325532211,61.0404687003693
Tennessee,6.142857142857143,0.9,4.142857142857143,6.571428571428571,0.6,49.8,354.2857142857143,340.2857142857143,399.0,58.4,0.487,0.471,0.17100000000000004,0.21799999999999997,21360,353,3127.7574711085117,51.6899994054918
Texas,19.714285714285715,0.7,32.0,34.285714285714285,1.1,40.8,1212.4285714285713,1181.7142857142858,1046.7142857142858,36.1,0.478,0.479,0.061000000000000054,0.050000000000000044,59047,1598,2036.3926862577482,55.111275977439696
Utah,2.0,0.6,2.2857142857142856,2.142857142857143,0.7,49.7,148.0,159.42857142857142,153.85714285714286,48.0,0.487,0.485,0.47,0.399,8710,105,2716.816627042525,32.75152076228073
Vermont,0.14285714285714285,0.2,0.14285714285714285,0.0,0.2,4.1,2.2857142857142856,2.5714285714285716,3.4285714285714284,5.5,0.536,0.5589999999999999,0.753,0.499,971,54,1556.1171751425106,86.53998708310563
Virgin Islands,0.0,,0.0,0.2857142857142857,,,0.42857142857142855,0.0,0.0,,1.0,0.48,1.0,0.753,69,6,,
Virginia,34.142857142857146,4.0,20.571428571428573,26.571428571428573,2.4,105.8,891.8571428571429,903.4285714285714,1037.7142857142858,121.6,0.491,0.485,0.040000000000000036,0.038000000000000034,40249,1281,4715.4719004198805,150.07874740832983
Washington,8.857142857142858,1.2,9.0,12.571428571428571,1.2,26.0,233.14285714285714,197.71428571428572,256.0,33.6,0.49,0.496,0.5,0.46099999999999997,21565,1106,2831.950494905181,145.24169939091726
West Virginia,0.42857142857142855,0.2,1.2857142857142858,1.5714285714285714,0.7,13.5,19.571428571428573,24.142857142857142,54.714285714285715,30.5,0.482,0.474,0.03200000000000003,0.01200000000000001,1947,74,1086.4064164379374,41.29125568382504
Wisconsin,9.0,1.5,7.571428571428571,8.571428571428571,1.3,64.1,295.0,373.14285714285717,474.14285714285717,81.4,0.479,0.474,0.31299999999999994,0.31000000000000005,16565,539,2845.030102531003,92.57296862446186
Wyoming,0.42857142857142855,0.7,0.7142857142857143,0.0,1.2,24.7,9.428571428571429,14.285714285714286,10.714285714285714,18.5,0.45499999999999996,0.44299999999999995,0.359,0.09399999999999997,860,14,1485.9380156507286,24.189688626872325
