date,state,county,cases,rank
2020-03-15,Michigan,Macomb,99,3
2020-03-15,Missouri,Kansas City,1,3
2020-03-15,Missouri,St. Louis,20,1
2020-03-15,Missouri,other,30,100
2020-03-15,Missouri,St. Louis city,9,2
2020-03-15,Nebraska,other,6,100
2020-03-15,Nebraska,Douglas,18,1
2020-03-15,Nebraska,other,1,4
2020-03-15,New York,other,3769,100
2020-03-15,New York,New York City,5957,1
2020-03-15,Oklahoma,other,5,100
2020-03-15,Oklahoma,other,11,4
2020-03-15,Oklahoma,Oklahoma,19,1
2020-03-15,Oklahoma,Tulsa,3,2
2020-03-15,Oklahoma,other,0,5
2020-03-15,Virginia,other,54,100
2020-03-15,Virginia,Fairfax,12,1
2020-03-15,Virginia,Loudoun,9,3
2020-03-15,Virginia,Prince William,12,2
2020-03-15,Louisiana,other,82,100
2020-03-15,Louisiana,other,13,4
2020-03-15,Louisiana,East Baton Rouge,17,3
2020-03-15,Louisiana,Jefferson,155,1
2020-03-15,Louisiana,Orleans,365,2
2020-03-15,Louisiana,other,18,5
2020-03-15,Minnesota,other,36,100
2020-03-15,Minnesota,Stearns,1,3
2020-03-15,Minnesota,Hennepin,46,1
2020-03-15,Minnesota,Ramsey,13,2
2020-03-15,Tennessee,other,61,100
2020-03-15,Tennessee,other,4,4
2020-03-15,Tennessee,Shelby,40,2
2020-03-15,Tennessee,Davidson,126,1
2020-03-15,Tennessee,Hamilton,6,3
2020-03-15,Wisconsin,other,97,100
2020-03-15,Wisconsin,Milwaukee,120,1
2020-03-15,Wisconsin,Racine,3,3
2020-03-15,Wisconsin,Brown,2,2
2020-03-15,California,other,846,100
2020-03-15,California,Los Angeles,298,1
2020-03-15,New Jersey,other,177,100
2020-03-15,New Jersey,Bergen,331,1
2020-03-15,New Jersey,other,17,12
2020-03-15,New Jersey,other,13,10
2020-03-15,New Jersey,Essex,100,3
2020-03-15,New Jersey,Hudson,92,2
2020-03-15,New Jersey,other,29,9
2020-03-15,New Jersey,other,108,5
2020-03-15,New Jersey,other,84,8
2020-03-15,New Jersey,other,59,11
2020-03-15,New Jersey,other,61,7
2020-03-15,New Jersey,other,65,4
2020-03-15,New Jersey,other,30,13
2020-03-15,New Jersey,other,80,6
2020-03-15,New Mexico,Bernalillo,26,3
2020-03-15,New Mexico,other,1,4
2020-03-15,New Mexico,McKinley,0,1
2020-03-15,New Mexico,other,5,6
2020-03-15,New Mexico,other,7,100
2020-03-15,Washington,other,112,100
2020-03-15,Washington,King,546,1
2020-03-15,Washington,other,69,4
2020-03-15,Washington,Snohomish,292,3
2020-03-15,Washington,Yakima,17,2
2020-03-15,Connecticut,Fairfield,125,1
2020-03-15,Connecticut,Hartford,34,3
2020-03-15,Connecticut,other,14,100
2020-03-15,Connecticut,New Haven,23,2
2020-03-15,Mississippi,other,0,17
2020-03-15,Mississippi,other,18,100
2020-03-15,Mississippi,other,1,12
2020-03-15,Mississippi,other,12,6
2020-03-15,Mississippi,other,2,8
2020-03-15,Mississippi,other,9,18
2020-03-15,Mississippi,Hinds,12,1
2020-03-15,Mississippi,other,2,11
2020-03-15,Mississippi,other,4,16
2020-03-15,Mississippi,other,0,4
2020-03-15,Mississippi,other,4,23
2020-03-15,Mississippi,other,6,14
2020-03-15,Mississippi,Madison,6,2
2020-03-15,Mississippi,other,1,24
2020-03-15,Mississippi,other,4,9
2020-03-15,Mississippi,other,0,7
2020-03-15,Puerto Rico,Unknown,17,1
2020-03-15,North Dakota,other,20,100
2020-03-15,North Dakota,Cass,0,1
2020-03-15,Pennsylvania,other,144,100
2020-03-15,Pennsylvania,other,28,4
2020-03-15,Pennsylvania,Delaware,27,3
2020-03-15,Pennsylvania,Montgomery,57,2
2020-03-15,Pennsylvania,Philadelphia,65,1
2020-03-15,Rhode Island,other,46,100
2020-03-15,South Dakota,other,3,100
2020-03-15,South Dakota,Minnehaha,2,1
2020-03-15,Massachusetts,other,49,100
2020-03-15,Massachusetts,other,13,7
2020-03-15,Massachusetts,Essex,36,3
2020-03-15,Massachusetts,other,8,8
2020-03-15,Massachusetts,Middlesex,112,1
2020-03-15,Massachusetts,other,41,5
2020-03-15,Massachusetts,other,17,6
2020-03-15,Massachusetts,Suffolk,81,2
2020-03-15,Massachusetts,other,22,4
2020-03-15,New Hampshire,other,19,100
2020-03-15,New Hampshire,Hillsborough,11,1
2020-03-15,New Hampshire,Rockingham,21,2
2020-03-15,West Virginia,other,0,5
2020-03-15,West Virginia,Jefferson,1,3
2020-03-15,West Virginia,Kanawha,0,2
2020-03-15,West Virginia,other,1,100
2020-03-15,West Virginia,other,0,4
2020-03-15,North Carolina,other,15,100
2020-03-15,North Carolina,Wake,38,2
2020-03-15,North Carolina,other,0,6
2020-03-15,North Carolina,Durham,32,3
2020-03-15,North Carolina,other,6,4
2020-03-15,North Carolina,other,3,5
2020-03-15,North Carolina,Mecklenburg,39,1
2020-03-15,South Carolina,other,42,100
2020-03-15,South Carolina,Lexington,11,3
2020-03-15,South Carolina,Richland,27,2
2020-03-15,South Carolina,other,1,6
2020-03-15,South Carolina,other,2,9
2020-03-15,South Carolina,other,1,8
2020-03-15,South Carolina,other,9,10
2020-03-15,South Carolina,other,8,5
2020-03-15,South Carolina,other,0,7
2020-03-15,South Carolina,Greenville,16,1
2020-03-15,South Carolina,other,6,4
2020-03-15,Virgin Islands,Unknown,5,1
2020-03-15,District of Columbia,District of Columbia,61,1
2020-03-22,Guam,Unknown,42,1
2020-03-22,Iowa,other,157,100
2020-03-22,Iowa,Black Hawk,3,3
2020-03-22,Iowa,Polk,30,1
2020-03-22,Iowa,Woodbury,2,2
2020-03-22,Ohio,other,381,100
2020-03-22,Ohio,Cuyahoga,278,2
2020-03-22,Ohio,Franklin,201,1
2020-03-22,Ohio,Hamilton,63,3
2020-03-22,Ohio,other,63,5
2020-03-22,Ohio,other,66,8
2020-03-22,Ohio,other,4,4
2020-03-22,Ohio,other,3,6
2020-03-22,Ohio,other,64,7
2020-03-22,Utah,other,220,100
2020-03-22,Utah,Salt Lake,216,1
2020-03-22,Utah,Utah,23,2
2020-03-22,Idaho,Ada,77,1
2020-03-22,Idaho,other,14,100
2020-03-22,Idaho,Blaine,93,2
2020-03-22,Idaho,other,21,4
2020-03-22,Idaho,Twin Falls,1,3
2020-03-22,Maine,other,27,100
2020-03-22,Maine,Androscoggin,4,3
2020-03-22,Maine,Cumberland,79,1
2020-03-22,Maine,York,30,2
2020-03-22,Texas,other,743,100
2020-03-22,Texas,other,29,6
2020-03-22,Texas,Tarrant,67,3
2020-03-22,Texas,other,98,4
2020-03-22,Texas,Harris,377,1
2020-03-22,Texas,other,75,5
2020-03-22,Texas,Dallas,344,2
2020-03-22,Alaska,Fairbanks North Star Borough,16,3
2020-03-22,Alaska,other,9,100
2020-03-22,Alaska,Kenai Peninsula Borough,4,2
2020-03-22,Alaska,Anchorage,49,1
2020-03-22,Hawaii,other,15,100
2020-03-22,Hawaii,Honolulu,73,1
2020-03-22,Hawaii,Maui,9,2
2020-03-22,Kansas,other,48,100
2020-03-22,Kansas,Ford,0,1
2020-03-22,Kansas,other,55,5
2020-03-22,Kansas,other,11,4
2020-03-22,Kansas,other,3,8
2020-03-22,Kansas,other,31,7
2020-03-22,Kansas,other,4,9
2020-03-22,Kansas,Wyandotte,40,2
2020-03-22,Nevada,Clark,402,1
2020-03-22,Nevada,other,7,100
2020-03-22,Nevada,Washoe,71,2
2020-03-22,Oregon,other,75,100
2020-03-22,Oregon,other,25,4
2020-03-22,Oregon,Marion,75,2
2020-03-22,Oregon,Multnomah,63,1
2020-03-22,Oregon,Washington,98,3
2020-03-22,Alabama,other,186,100
2020-03-22,Alabama,other,2,6
2020-03-22,Alabama,Jefferson,153,3
2020-03-22,Alabama,other,44,7
2020-03-22,Alabama,other,3,5
2020-03-22,Alabama,Mobile,32,2
2020-03-22,Alabama,Montgomery,15,1
2020-03-22,Alabama,other,13,9
2020-03-22,Alabama,other,56,8
2020-03-22,Alabama,other,17,4
2020-03-22,Alabama,other,27,10
2020-03-22,Arizona,other,151,100
2020-03-22,Arizona,Maricopa,405,1
2020-03-22,Arizona,Pima,108,2
2020-03-22,Florida,other,1395,100
2020-03-22,Florida,Miami-Dade,951,1
2020-03-22,Florida,Palm Beach,262,3
2020-03-22,Florida,Broward,656,2
2020-03-22,Georgia,other,202,7
2020-03-22,Georgia,other,661,100
2020-03-22,Georgia,other,45,8
2020-03-22,Georgia,other,129,4
2020-03-22,Georgia,DeKalb,204,3
2020-03-22,Georgia,other,177,6
2020-03-22,Georgia,Fulton,278,2
2020-03-22,Georgia,Gwinnett,108,1
2020-03-22,Georgia,other,22,5
2020-03-22,Indiana,other,442,100
2020-03-22,Indiana,Allen,20,3
2020-03-22,Indiana,Lake,61,2
2020-03-22,Indiana,Marion,538,1
2020-03-22,Montana,other,31,100
2020-03-22,Montana,other,4,5
2020-03-22,Montana,Gallatin,50,1
2020-03-22,Montana,other,5,4
2020-03-22,Montana,Yellowstone,21,2
2020-03-22,Vermont,other,65,100
2020-03-22,Vermont,Chittenden,83,1
2020-03-22,Wyoming,other,8,100
2020-03-22,Wyoming,Fremont,12,1
2020-03-22,Wyoming,Laramie,14,2
2020-03-22,Wyoming,other,7,4
2020-03-22,Wyoming,Teton,12,3
2020-03-22,Arkansas,other,188,100
2020-03-22,Arkansas,other,0,9
2020-03-22,Arkansas,Washington,13,1
2020-03-22,Arkansas,Benton,28,2
2020-03-22,Arkansas,other,14,8
2020-03-22,Arkansas,other,6,6
2020-03-22,Arkansas,other,5,4
2020-03-22,Arkansas,Pulaski,64,3
2020-03-22,Colorado,Adams,81,3
2020-03-22,Colorado,other,461,100
2020-03-22,Colorado,Arapahoe,164,2
2020-03-22,Colorado,Denver,269,1
2020-03-22,Colorado,other,147,6
2020-03-22,Colorado,other,139,5
2020-03-22,Colorado,other,140,4
2020-03-22,Delaware,Kent,20,3
2020-03-22,Delaware,New Castle,98,2
2020-03-22,Delaware,Sussex,51,1
2020-03-22,Illinois,other,708,100
2020-03-22,Illinois,Cook,2065,1
2020-03-22,Kentucky,other,71,100
2020-03-22,Kentucky,Fayette,47,3
2020-03-22,Kentucky,Jefferson,74,1
2020-03-22,Kentucky,other,15,4
2020-03-22,Kentucky,Warren,6,2
2020-03-22,Maryland,other,97,4
2020-03-22,Maryland,other,72,5
2020-03-22,Maryland,Baltimore,122,3
2020-03-22,Maryland,other,226,100
2020-03-22,Maryland,Montgomery,187,2
2020-03-22,Maryland,Prince George's,160,1
2020-03-22,Michigan,other,580,100
2020-03-22,Michigan,Oakland,789,2
2020-03-22,Michigan,Wayne,1967,1
2020-03-22,Michigan,other,32,4
2020-03-22,Michigan,Macomb,433,3
2020-03-22,Missouri,Kansas City,81,3
2020-03-22,Missouri,other,242,100
2020-03-22,Missouri,St. Louis,291,1
2020-03-22,Missouri,St. Louis city,83,2
2020-03-22,Nebraska,other,19,100
2020-03-22,Nebraska,Douglas,28,1
2020-03-22,Nebraska,Hall,2,3
2020-03-22,Nebraska,other,2,4
2020-03-22,New York,other,18439,100
2020-03-22,New York,New York City,24693,1
2020-03-22,Oklahoma,other,100,100
2020-03-22,Oklahoma,other,34,4
2020-03-22,Oklahoma,other,3,6
2020-03-22,Oklahoma,Oklahoma,87,1
2020-03-22,Oklahoma,Tulsa,52,2
2020-03-22,Oklahoma,other,13,5
